,duration,pitch_mean,pitch_std,energy,zcr,spectral_centroid,spectral_bandwidth,spectral_rolloff,spectral_flatness,jitter,shimmer,hnr,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,Age
duration,1.0,-0.0071074184144480565,0.07976714674997906,0.017582837616456664,0.026965600824657952,0.13680804229035057,0.24179770454697067,0.2431204598662627,0.10911662977062843,0.07965872506056679,0.06392432238883122,-0.06091558738221349,-0.0381052548554194,-0.12091779518174188,0.1484978994118452,-0.1421109390715397,-0.06261589168255885,0.3666013717320838,-0.10354736713231683,0.16733795947074273,0.020784061900265088,-0.008993545321434423,0.022460871329922295,0.07333938107075784,0.12949022623446213,0.22165217139973356
pitch_mean,-0.0071074184144480565,1.0,0.8811828319722417,0.09941793133630449,0.5915411480153069,0.7685402054442689,0.30807522450074887,0.5886633184376331,0.4298568942404003,-0.1786417370453629,-0.28896610134503997,0.09625189453307445,0.11678331607139295,-0.6626654879387586,-0.26163759963981553,0.21775683610650787,0.17559054566185467,-0.1072792822106478,0.13260361692086955,0.10028967901350404,-0.3788153568237501,0.25113822792416335,0.01798759504198063,0.31064654136029884,-0.14910887031057743,-0.0030966207976838626
pitch_std,0.07976714674997906,0.8811828319722417,1.0,-0.015965907690718206,0.35640997897067767,0.6419070139299251,0.5631960133855198,0.6944807249972976,0.4345679304544215,-0.09556547699068867,-0.21560982894382133,0.07993644180939885,-0.004973527051612662,-0.5084176737635916,0.08060787119392072,0.10734525751390638,0.1985336918775738,-0.00716822988509434,0.020869211251492947,0.08438547004653678,-0.33149406079068505,0.27038517697823156,-0.08344011709341607,0.28299202456988815,-0.16788794562969053,0.02434872005011382
energy,0.017582837616456664,0.09941793133630449,-0.015965907690718206,1.0,0.09127340556323633,0.1005413147644595,-0.04485607593492032,-0.002605300170630698,-0.12472728872587274,-0.10323882667550936,-0.270566650291413,0.24723673332991936,0.6509303975926412,-0.22746457814261614,-0.05518955223032934,0.07956639164343537,-0.18208327593509657,-0.19792572747865572,0.1687004766695033,-0.14570917842633857,-0.1677126970665155,-0.036404404178153306,0.29360387479647315,0.15057955461545236,-0.16884877455204478,0.07619524511916506
zcr,0.026965600824657952,0.5915411480153069,0.35640997897067767,0.09127340556323633,1.0,0.7566426353220963,-0.08451004208192374,0.325680672108144,0.14837167261132606,-0.2680040825437161,-0.19381080014848553,0.10651898766314179,0.008963838645408312,-0.6688317994006878,-0.5685330458590133,-0.01497140779035593,0.14021733145740872,-0.04294912656862128,0.21488756449245122,0.08947656450694795,-0.07358821288202091,0.22758147026297912,0.061335703165681,0.2975878491127051,-0.07193456184904848,0.06907139609424823
spectral_centroid,0.13680804229035057,0.7685402054442689,0.6419070139299251,0.1005413147644595,0.7566426353220963,1.0,0.47451853709528974,0.8017989596907475,0.3422969534865298,-0.27469831884131934,-0.29535014094787077,0.13930073694076903,0.10253651667338154,-0.9250881972881209,-0.2956820037406869,0.15748585993439093,0.09455902149500438,-0.06375466193502319,0.12018717685550323,0.20865835811073813,-0.2885520095536418,0.25926016000156593,0.10188315450542147,0.3577469365995286,-0.10261425560371784,0.015899240413521656
spectral_bandwidth,0.24179770454697067,0.30807522450074887,0.5631960133855198,-0.04485607593492032,-0.08451004208192374,0.47451853709528974,1.0,0.8436593712862493,0.3516037436507409,-0.008775408019461264,-0.05957599183637985,-0.01163244722801394,0.04949566353814359,-0.3897319371343739,0.5714739966741958,0.038735252226619034,0.05822846050122453,0.05091655296871617,-0.11926452445941225,0.16565836448698842,-0.22587133717747052,0.2037465616956649,-0.05081418382651607,0.17646315768440793,-0.08681594969054955,0.05856240271576801
spectral_rolloff,0.2431204598662627,0.5886633184376331,0.6944807249972976,-0.002605300170630698,0.325680672108144,0.8017989596907475,0.8436593712862493,1.0,0.4157137407360527,-0.11650861835577525,-0.15067433073360076,0.001982821489045661,0.10282562617024937,-0.6951489895985922,0.17396155054526227,0.08987503838806744,-0.030096925969475045,0.039142746612724,-0.05674881062901989,0.209015022650164,-0.24734915643429767,0.2754278999109252,0.05101761624195162,0.23089325216511633,-0.09569865175936305,0.04651407793684404
spectral_flatness,0.10911662977062843,0.4298568942404003,0.4345679304544215,-0.12472728872587274,0.14837167261132606,0.3422969534865298,0.3516037436507409,0.4157137407360527,1.0,0.4316899727733828,0.3034081191691252,-0.6119573565119361,0.353325594304132,-0.13741479850369634,-0.09491131272970268,-0.015443959327364098,0.05233174501513545,0.06306120412701069,-0.25945469768452245,0.2402615339969704,0.008118524224769576,0.05369900192430334,-0.15946450161644124,-0.06436364379812382,-0.048135131462603065,0.18458890378321532
jitter,0.07965872506056679,-0.1786417370453629,-0.09556547699068867,-0.10323882667550936,-0.2680040825437161,-0.27469831884131934,-0.008775408019461264,-0.11650861835577525,0.4316899727733828,1.0,0.7725609741609081,-0.7211880028559114,0.20792164242192265,0.4027350218180483,0.12458819262158494,-0.24743552124483795,-0.21149514559755075,0.1164857866612367,-0.1864629446303733,0.029368008843084242,0.22467841991377852,0.07365737351117611,-0.1760329726446929,-0.2855701572173502,-0.0269305670825623,0.08418922962774367
shimmer,0.06392432238883122,-0.28896610134503997,-0.21560982894382133,-0.270566650291413,-0.19381080014848553,-0.29535014094787077,-0.05957599183637985,-0.15067433073360076,0.3034081191691252,0.7725609741609081,1.0,-0.8581235738811948,0.14025275617747363,0.4941266283673207,0.11592879885079664,-0.33653400420210905,-0.17815402011250545,0.22657011914785524,-0.21092633502270586,0.13999605380390465,0.3690110421610667,0.09442644166978109,-0.1429805173843103,-0.32229779319552054,0.1031898266615392,0.08597221741035363
hnr,-0.06091558738221349,0.09625189453307445,0.07993644180939885,0.24723673332991936,0.10651898766314179,0.13930073694076903,-0.01163244722801394,0.001982821489045661,-0.6119573565119361,-0.7211880028559114,-0.8581235738811948,1.0,-0.3510951627438264,-0.3963062530698996,0.025051135172043177,0.2784428600796415,0.19912379043838707,-0.17752727228319257,0.2931210362949186,-0.19231644031560305,-0.33645529787047945,-0.0628703613108035,0.17754682411632408,0.3926939264572447,0.004382114464430933,-0.12803814770298602
mfcc_1,-0.0381052548554194,0.11678331607139295,-0.004973527051612662,0.6509303975926412,0.008963838645408312,0.10253651667338154,0.04949566353814359,0.10282562617024937,0.353325594304132,0.20792164242192265,0.14025275617747363,-0.3510951627438264,1.0,-0.0608768506180498,-0.17970668129460082,0.04696415096948012,-0.2895289621174689,-0.1200225913955683,-0.04900856778622204,0.09458363443035321,-0.008713296996382411,-0.09300895202535889,0.0767837247593097,-0.13689354822739175,-0.11811971447198899,-0.06094376738312825
mfcc_2,-0.12091779518174188,-0.6626654879387586,-0.5084176737635916,-0.22746457814261614,-0.6688317994006878,-0.9250881972881209,-0.3897319371343739,-0.6951489895985922,-0.13741479850369634,0.4027350218180483,0.4941266283673207,-0.3963062530698996,-0.0608768506180498,1.0,0.3178118999124605,-0.3007603106008764,-0.047666383783157365,0.13497062855807224,-0.11068632066904724,-0.15867211758802863,0.3372171185619579,-0.18840964966060114,-0.1671621854348545,-0.4211380612678286,0.03626645515932062,0.012894248278144487
mfcc_3,0.1484978994118452,-0.26163759963981553,0.08060787119392072,-0.05518955223032934,-0.5685330458590133,-0.2956820037406869,0.5714739966741958,0.17396155054526227,-0.09491131272970268,0.12458819262158494,0.11592879885079664,0.025051135172043177,-0.17970668129460082,0.3178118999124605,1.0,-0.04164527097755783,-0.07607192113318964,0.15872558033473147,-0.08479479287448137,-0.15159053611744164,-0.013087775238615556,0.16846916179598367,-0.09415670531609854,-0.08999713637709031,0.03386228096109526,0.09299388805659209
mfcc_4,-0.1421109390715397,0.21775683610650787,0.10734525751390638,0.07956639164343537,-0.01497140779035593,0.15748585993439093,0.038735252226619034,0.08987503838806744,-0.015443959327364098,-0.24743552124483795,-0.33653400420210905,0.2784428600796415,0.04696415096948012,-0.3007603106008764,-0.04164527097755783,1.0,0.09692897974304067,-0.4562823134312443,0.16887580334841432,0.06254121211035119,-0.37852953565630776,-0.1527242320945246,0.20990104307733434,0.09851243994732096,-0.0019851826036790025,-0.32270721824896764
mfcc_5,-0.06261589168255885,0.17559054566185467,0.1985336918775738,-0.18208327593509657,0.14021733145740872,0.09455902149500438,0.05822846050122453,-0.030096925969475045,0.05233174501513545,-0.21149514559755075,-0.17815402011250545,0.19912379043838707,-0.2895289621174689,-0.047666383783157365,-0.07607192113318964,0.09692897974304067,1.0,-0.0971300668579814,0.030853012523839644,0.07800526150887915,-0.2915313069638973,-0.15073857594917264,-0.07756832045281548,0.3825549920724841,-0.08229972367176525,-0.0235110976444632
mfcc_6,0.3666013717320838,-0.1072792822106478,-0.00716822988509434,-0.19792572747865572,-0.04294912656862128,-0.06375466193502319,0.05091655296871617,0.039142746612724,0.06306120412701069,0.1164857866612367,0.22657011914785524,-0.17752727228319257,-0.1200225913955683,0.13497062855807224,0.15872558033473147,-0.4562823134312443,-0.0971300668579814,1.0,-0.22841335014619277,-0.17856377831518766,0.09834793470155385,0.24844233995044868,-0.034426691652697766,-0.2909710391111538,0.3084412523252601,-0.028916198391856864
mfcc_7,-0.10354736713231683,0.13260361692086955,0.020869211251492947,0.1687004766695033,0.21488756449245122,0.12018717685550323,-0.11926452445941225,-0.05674881062901989,-0.25945469768452245,-0.1864629446303733,-0.21092633502270586,0.2931210362949186,-0.04900856778622204,-0.11068632066904724,-0.08479479287448137,0.16887580334841432,0.030853012523839644,-0.22841335014619277,1.0,-0.27222647394386623,-0.2677389059348483,-0.06193511408356583,0.21123240533513163,0.18804513664532602,-0.15433567315402946,-0.13366205349710705
mfcc_8,0.16733795947074273,0.10028967901350404,0.08438547004653678,-0.14570917842633857,0.08947656450694795,0.20865835811073813,0.16565836448698842,0.209015022650164,0.2402615339969704,0.029368008843084242,0.13999605380390465,-0.19231644031560305,0.09458363443035321,-0.15867211758802863,-0.15159053611744164,0.06254121211035119,0.07800526150887915,-0.17856377831518766,-0.27222647394386623,1.0,-0.02677964294332876,-0.22457745055245168,-0.08485428499440881,0.13673368353358864,0.12289571230398794,0.07029119658436533
mfcc_9,0.020784061900265088,-0.3788153568237501,-0.33149406079068505,-0.1677126970665155,-0.07358821288202091,-0.2885520095536418,-0.22587133717747052,-0.24734915643429767,0.008118524224769576,0.22467841991377852,0.3690110421610667,-0.33645529787047945,-0.008713296996382411,0.3372171185619579,-0.013087775238615556,-0.37852953565630776,-0.2915313069638973,0.09834793470155385,-0.2677389059348483,-0.02677964294332876,1.0,-0.045240751893311844,-0.19796900068837012,-0.31146663049432993,0.2658812257019374,0.22145906722442102
mfcc_10,-0.008993545321434423,0.25113822792416335,0.27038517697823156,-0.036404404178153306,0.22758147026297912,0.25926016000156593,0.2037465616956649,0.2754278999109252,0.05369900192430334,0.07365737351117611,0.09442644166978109,-0.0628703613108035,-0.09300895202535889,-0.18840964966060114,0.16846916179598367,-0.1527242320945246,-0.15073857594917264,0.24844233995044868,-0.06193511408356583,-0.22457745055245168,-0.045240751893311844,1.0,-0.1881242606422421,-0.06714733274894674,-0.09634150998646566,0.11250472675440829
mfcc_11,0.022460871329922295,0.01798759504198063,-0.08344011709341607,0.29360387479647315,0.061335703165681,0.10188315450542147,-0.05081418382651607,0.05101761624195162,-0.15946450161644124,-0.1760329726446929,-0.1429805173843103,0.17754682411632408,0.0767837247593097,-0.1671621854348545,-0.09415670531609854,0.20990104307733434,-0.07756832045281548,-0.034426691652697766,0.21123240533513163,-0.08485428499440881,-0.19796900068837012,-0.1881242606422421,1.0,0.09882607697141524,-0.008143484372792772,-0.11530744197302349
mfcc_12,0.07333938107075784,0.31064654136029884,0.28299202456988815,0.15057955461545236,0.2975878491127051,0.3577469365995286,0.17646315768440793,0.23089325216511633,-0.06436364379812382,-0.2855701572173502,-0.32229779319552054,0.3926939264572447,-0.13689354822739175,-0.4211380612678286,-0.08999713637709031,0.09851243994732096,0.3825549920724841,-0.2909710391111538,0.18804513664532602,0.13673368353358864,-0.31146663049432993,-0.06714733274894674,0.09882607697141524,1.0,-0.09439224762532039,0.10891028062670804
mfcc_13,0.12949022623446213,-0.14910887031057743,-0.16788794562969053,-0.16884877455204478,-0.07193456184904848,-0.10261425560371784,-0.08681594969054955,-0.09569865175936305,-0.048135131462603065,-0.0269305670825623,0.1031898266615392,0.004382114464430933,-0.11811971447198899,0.03626645515932062,0.03386228096109526,-0.0019851826036790025,-0.08229972367176525,0.3084412523252601,-0.15433567315402946,0.12289571230398794,0.2658812257019374,-0.09634150998646566,-0.008143484372792772,-0.09439224762532039,1.0,0.049401452252541694
Age,0.22165217139973356,-0.0030966207976838626,0.02434872005011382,0.07619524511916506,0.06907139609424823,0.015899240413521656,0.05856240271576801,0.04651407793684404,0.18458890378321532,0.08418922962774367,0.08597221741035363,-0.12803814770298602,-0.06094376738312825,0.012894248278144487,0.09299388805659209,-0.32270721824896764,-0.0235110976444632,-0.028916198391856864,-0.13366205349710705,0.07029119658436533,0.22145906722442102,0.11250472675440829,-0.11530744197302349,0.10891028062670804,0.049401452252541694,1.0
